Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
7/29/2017,1838,7/29/2017,2017,7,17130253,2D,1200 B/O New Hampshire Ave NW,Political Affiliation,,ADW
7/30/2017,2339,7/31/2017,2017,7,17131013,2D,1200 B/O 18th ST NW,Sexual Orientation,,ADW
8/2/2017,2030,8/2/2017,2017,8,17132873,1D,400 B/O Massachusetts Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/3/2017,1000,8/3/2017,2017,8,17133148,2D,1700 B/O New York Ave NW,Ethnicity/National Origin,Jewish,Threats
8/5/2017,1908,8/5/2017,2017,8,17134640,3D,1200 B/O U St NW,Race,Black,Threats
8/6/2017,0407,8/6/2017,2017,8,17134934,2D,1500 B/O 21st ST NW,Race,White,Robbery
8/6/2017,1414,8/6/2017,2017,8,17135081,4D,1500 B/O Newton St NW,Sexual Orientation,,Threats
8/12/2017,0343,8/12/2017,2017,8,17138668,2D,1800 B/O I St NW,Sexual Orientation,,ADW
8/14/2017,0858,8/14/2017,2017,8,17139860,5D,1600 B/O Gales St NE,Sexual Orientation,,Damage/Defacing/Destruction of Property
8/15/2017,2259,8/16/2017,2017,8,17141006,1D,100 B/O I St SE,Race,Black,Simple Assault
8/16/2017,0700,8/16/2017,2017,8,17141306,2D,1700 B/O 38th ST NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/17/2017,2000,8/18/2017,2017,8,17142495,3D,1700 B/O Columbia Rd NW,Race,Black,Damage/Defacing/Destruction of Property
8/18/2017,0950,8/18/2017,2017,8,17142554,4D,3500 B/O Georgia Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/24/2017,0900,8/24/2017,2017,8,17146354,1D,1200 B/O South Capitol ST SE,Race,Black,Displaying Symbols
8/25/2017,0557,8/25/2017,2017,8,17146816,1D,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property
8/28/2017,1413,8/28/2017,2017,8,17148856,2D,900 B/O 16th ST NW,Race,White,ADW
8/30/2017,0740,8/30/2017,2017,8,17149831,3D,Unit B/O O St NW,Gender Identity/Expression,,Threats
8/27/2017,0043,8/30/2017,2017,8,17150165,2D,1400 B/O New York Ave NW,Political Affiliation,,Threats
9/3/2017,0220,9/3/2017,2017,9,17152445,1D,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property
9/6/2017,1200,9/7/2017,2017,9,17154874,1D,1500 B/O C ST SE,Ethnicity/National Origin,Jewish,Displaying Symbols
9/9/2017,0234,9/9/2017,2017,9,17156097,3D,1000 B/O U St NW,Sexual Orientation,,Simple Assault
9/10/2017,0315,9/10/2017,2017,9,17156744,3D,1900 B/O 9th St NW,Race,Black,Threats
9/11/2017,1458,9/11/2017,2017,9,17157558,7D,200 B/O Elmira St SW,Sexual Orientation,,Threats
9/11/2017,1720,9/11/2017,2017,9,17157628,1D,400 B/O 2nd St NW,Political Affiliation,,Damage/Defacing/Destruction of Property
11/15/2016,0000,9/11/2017,2017,9,17157715,4D,1400 B/O Juniper St NW,Religion,Jewish,Displaying Symbols
9/13/2017,0224,9/13/2017,2017,9,17158561,2D,1100 B/O Connecticut Ave NW,Political Affiliation,,Robbery
9/15/2017,1230,9/15/2017,2017,9,17160176,1D,Unit B/O H St NW,Disability,,Simple Assault
9/16/2017,1812,9/16/2017,2017,9,17160966,1D,1500 B/O 2nd St NW,Sexual Orientation,,ADW
9/17/2017,0213,9/17/2017,2017,9,17161210,3D,2300 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
9/11/2017,0000,9/18/2017,2017,9,17161775,2D,Unit B/O Washington Cir NW,Ethnicity/National Origin,Jewish,Displaying Symbols
9/19/2017,1200,9/20/2017,2017,9,17163474,1D,200 B/O H St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
9/21/2017,0700,9/21/2017,2017,9,17163970,2D,1600 B/O Rhode Island Ave NW,Sexual Orientation,,Threats
9/21/2017,1400,9/22/2017,2017,9,17164646,3D,1700 B/O Florida Ave NW,Race,Black,Threats
9/20/2017,1900,9/22/2017,2017,9,17164786,3D,1600 B/O 16th ST NW,Political Affiliation,,Damage/Defacing/Destruction of Property
9/24/2017,1843,9/24/2017,2017,9,17166173,2D,3300 B/O Water St NW,Race,Black,Threats
9/26/2017,1642,9/26/2017,2017,9,17167395,2D,2600 B/O Connecticut Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
9/26/2017,1700,9/27/2017,2017,9,17167710,4D,5400 B/O 3rd St NW,Race,Black,Damage/Defacing/Destruction of Property
9/29/2017,0000,9/30/2017,2017,9,17169500,2D,3700 B/O O St NW,Race,Black,Displaying Symbols
10/1/2017,1105,10/1/2017,2017,10,17170303,7D,900 B/O Southern Ave SE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
10/5/2017,1918,10/5/2017,2017,10,17172974,5D,900 B/O Hamlin ST NE,Sexual Orientation,,Threats
10/5/2017,2356,10/5/2017,2017,10,17173088,7D,2900 B/O Martin Luther King Jr Ave SE,Sexual Orientation,,Simple Assault
10/6/2017,0234,10/6/2017,2017,10,17173128,3D,1600 B/O Riggs Pl NW,Sexual Orientation,,Simple Assault
10/6/2017,1500,10/6/2017,2017,10,17173404,3D,2800 B/O Georgia Ave NW,Gender Identity/Expression,,Threats
10/7/2017,1145,10/7/2017,2017,10,17173927,2D,Unit B/O Dupont Cir NW,Gender Identity/Expression,,Simple Assault
10/10/2017,0858,10/10/2017,2017,10,17175573,7D,900 B/O Varney ST SE,Sexual Orientation,,Simple Assault
10/9/2017,2100,10/9/2017,2017,10,17175645,4D,600 B/O Irving ST NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/11/2017,1604,10/11/2017,2017,10,17176473,3D,2200 B/O 4th ST NW,Race,White,Threats
10/14/2017,1341,10/14/2017,2017,10,17178328,2D,1300 B/O G ST NW,Ethnicity/National Origin,Non-European,Damage/Defacing/Destruction of Property
10/16/2017,1408,10/16/2017,2017,10,17179503,3D,500 B/O W St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/20/2017,0134,10/20/2017,2017,10,17181773,6D,1800 B/O 28th St SE,Sexual Orientation,,Simple Assault
10/20/2017,0507,10/20/2017,2017,10,17181830,5D,2100 B/O Queens Chapel Rd NE,Race,White,ADW
10/22/2017,1841,10/22/2017,2017,10,17183499,2D,Theodore Roosevelt Bridge,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
10/23/2017,2228,10/23/2017,2017,10,17184336,7D,4200 B/O 4th ST SE,Sexual Orientation,,Threats
10/24/2017,0854,10/24/2017,2017,10,17184502,1D,1400 B/O C St SE,Sexual Orientation,,Threats
10/24/2017,1244,10/24/2017,2017,10,17184552,2D,1100 B/O Vermont Ave NW,Sexual Orientation,,Simple Assault
10/28/2017,2230,10/28/2017,2017,10,17187517,1D,1300 B/O Potomac Ave SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
10/29/2017,0248,10/29/2017,2017,10,17187653,2D,1400 B/O I ST NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
10/30/2017,2126,10/30/2017,2017,10,17188581,4D,600 B/O Newton St NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
10/31/2017,1730,11/1/2017,2017,11,17189828,2D,2400 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/2/2017,1315,11/2/2017,2017,11,17190338,2D,1000 B/O Wisconsin Ave NW,Race,Black,ADW
11/5/2017,0040,11/5/2017,2017,11,17191866,3D,Unit B/O Rhode Island Ave NW,Sexual Orientation,,Threats
11/5/2017,0100,11/5/2017,2017,11,17191903,4D,4400 B/O South Dakota Ave NE,Ethnicity/National Origin,Black/African,ADW
11/5/2017,1225,11/6/2017,2017,11,17192094,2D,2600 B/O Virginia Ave NW,Race,Black,Damage/Defacing/Destruction of Property
11/5/2017,1700,11/6/2017,2017,11,17192415,7D,4600 B/O Martin Luther King Jr Ave SW,Sexual Orientation,,Damage/Defacing/Destruction of Property
11/11/2017,2300,11/12/2017,2017,11,17195967,1D,700 B/O Pennsylvania Ave SE,Sexual Orientation,,Threats
11/14/2017,1341,11/14/2017,2017,11,17197293,2D,1300 B/O 14th ST NW,Sexual Orientation,,Robbery
11/15/2017,1711,11/15/2017,2017,11,17198032,1D,600 B/O New Jersey Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/19/2017,0318,11/19/2017,2017,11,17200228,3D,1600 B/O R St NW,Sexual Orientation,,Simple Assault
